!! This surface is a combination of the following surfaces:
!! methanol-attack/methanol-attack.txt
!! acetyl-leaving/acetyl-leaving.txt
!! This surface is based upon a LD surface
!! Variables are -
!! Xvar Yvar GasSCF dGasSCF DeltaG dDeltaG DeltaGld dDeltaGld sum sumld surface
2.45 2.00 -1513.416681 139.77 -443.86 -147.41 -464.38 -150.23 -5.24 -6.14 !! -8.06 !! methanol-attack/methanol-attack.txt
2.45 2.05 -1513.417466 139.28 -442.27 -145.82 -461.61 -147.46 -4.14 -5.78 !! methanol-attack/methanol-attack.txt
2.45 2.10 -1513.417682 139.14 -441.08 -144.63 -460.77 -146.62 -3.09 -5.08 !! methanol-attack/methanol-attack.txt
2.45 2.15 -1513.417443 139.29 -439.57 -143.12 -459.71 -145.56 -1.43 -3.87 !! methanol-attack/methanol-attack.txt
2.45 2.20 -1513.416882 139.64 -438.01 -141.56 -458.72 -144.57 0.48 -2.53 !! methanol-attack/methanol-attack.txt
2.45 2.25 -1513.416113 140.13 -436.68 -140.23 -457.96 -143.81 2.30 -1.28 !! methanol-attack/methanol-attack.txt
2.45 2.30 -1513.415218 140.69 -435.18 -138.73 -457.34 -143.19 4.36 -0.10 !! methanol-attack/methanol-attack.txt
2.45 2.35 -1513.414288 141.27 -433.50 -137.05 -456.90 -142.75 6.62 0.92 !! methanol-attack/methanol-attack.txt
2.45 2.40 -1513.413362 141.85 -432.10 -135.65 -455.69 -141.54 8.60 2.71 !! methanol-attack/methanol-attack.txt
2.45 2.45 -1513.412481 142.40 -430.76 -134.31 -454.93 -140.78 10.49 4.02 !! methanol-attack/methanol-attack.txt
2.45 2.50 -1513.411711 142.89 -429.41 -132.96 -454.34 -140.19 12.33 5.10 !! methanol-attack/methanol-attack.txt
2.45 2.55 -1513.410982 143.34 -428.08 -131.63 -454.03 -139.88 14.11 5.86 !! methanol-attack/methanol-attack.txt
2.45 2.60 -1513.410414 143.70 -426.96 -130.51 -453.09 -138.94 15.59 7.16 !! methanol-attack/methanol-attack.txt
2.45 2.65 -1513.409943 144.00 -425.92 -129.47 -452.87 -138.72 16.93 7.68 !! methanol-attack/methanol-attack.txt
2.45 2.70 -1513.409593 144.22 -424.97 -128.52 -452.10 -137.95 18.10 8.67 !! methanol-attack/methanol-attack.txt
2.45 2.75 -1513.409362 144.36 -423.98 -127.53 -451.56 -137.41 19.23 9.35 !! methanol-attack/methanol-attack.txt
2.45 2.80 -1513.409258 144.43 -422.98 -126.53 -450.80 -136.65 20.30 10.18 !! methanol-attack/methanol-attack.txt
2.45 2.85 -1513.409278 144.41 -422.10 -125.65 -450.23 -136.08 21.16 10.73 !! methanol-attack/methanol-attack.txt
2.45 2.90 -1513.409425 144.32 -421.24 -124.79 -449.51 -135.36 21.93 11.36 !! methanol-attack/methanol-attack.txt
2.45 2.95 -1513.409700 144.15 -420.29 -123.84 -448.44 -134.29 22.71 12.26 !! methanol-attack/methanol-attack.txt
2.45 3.00 -1513.410015 143.95 -419.27 -122.82 -448.05 -133.90 23.53 12.45 !! methanol-attack/methanol-attack.txt
2.45 3.05 -1513.410562 143.61 -417.45 -121.00 -447.08 -132.93 25.01 13.08 !! methanol-attack/methanol-attack.txt
2.45 3.10 -1513.411338 143.12 -416.03 -119.58 -446.74 -132.59 25.94 12.93 !! methanol-attack/methanol-attack.txt
2.45 3.15 -1513.412205 142.58 -414.88 -118.43 -445.68 -131.53 26.55 13.45 !! methanol-attack/methanol-attack.txt
2.45 3.20 -1513.413211 141.95 -413.35 -116.90 -444.86 -130.71 27.45 13.64 !! methanol-attack/methanol-attack.txt
2.45 3.25 -1513.414376 141.22 -411.71 -115.26 -444.30 -130.15 28.36 13.47 !! methanol-attack/methanol-attack.txt
2.45 3.30 -1513.415627 140.43 -410.88 -114.43 -443.81 -129.66 28.40 13.17 !! methanol-attack/methanol-attack.txt

2.50 1.80 -1513.404051 147.69 -449.82 -153.37 -467.28 -153.13 -3.28 -3.04 !! methanol-attack/methanol-attack.txt
2.50 1.85 -1513.409921 144.01 -448.01 -151.56 -466.00 -151.85 -5.15 -5.44 !! methanol-attack/methanol-attack.txt
2.50 1.90 -1513.413985 141.46 -446.34 -149.89 -464.72 -150.57 -6.03 -6.71 !! methanol-attack/methanol-attack.txt
2.50 1.95 -1513.416642 139.79 -444.73 -148.28 -462.76 -148.61 -6.09 -6.42 !! methanol-attack/methanol-attack.txt
2.50 2.00 -1513.418288 138.76 -443.09 -146.64 -463.18 -149.03 -5.48 -7.07 !! -7.87 !! methanol-attack/methanol-attack.txt
2.50 2.05 -1513.418963 138.34 -441.70 -145.25 -460.95 -146.80 -4.51 -6.06 !! methanol-attack/methanol-attack.txt
2.50 2.10 -1513.419084 138.26 -440.26 -143.81 -460.17 -146.02 -3.15 -5.36 !! methanol-attack/methanol-attack.txt
2.50 2.15 -1513.418750 138.47 -438.79 -142.34 -459.05 -144.90 -1.47 -4.03 !! methanol-attack/methanol-attack.txt
2.50 2.20 -1513.418094 138.88 -437.24 -140.79 -458.36 -144.21 0.49 -2.93 !! methanol-attack/methanol-attack.txt
2.50 2.25 -1513.417228 139.43 -435.84 -139.39 -457.58 -143.43 2.44 -1.60 !! methanol-attack/methanol-attack.txt
2.50 2.30 -1513.416235 140.05 -434.44 -137.99 -456.46 -142.31 4.46 0.14 !! methanol-attack/methanol-attack.txt
2.50 2.35 -1513.415196 140.70 -432.70 -136.25 -456.18 -142.03 6.85 1.07 !! methanol-attack/methanol-attack.txt
2.50 2.40 -1513.414168 141.35 -431.26 -134.81 -455.32 -141.17 8.94 2.58 !! methanol-attack/methanol-attack.txt
2.50 2.45 -1513.413184 141.96 -429.89 -133.44 -454.20 -140.05 10.92 4.31 !! methanol-attack/methanol-attack.txt
2.50 2.50 -1513.412316 142.51 -428.53 -132.08 -453.86 -139.71 12.83 5.20 !! methanol-attack/methanol-attack.txt
2.50 2.55 -1513.411474 143.04 -427.22 -130.77 -452.95 -138.80 14.67 6.64 !! methanol-attack/methanol-attack.txt
2.50 2.60 -1513.410810 143.45 -426.05 -129.60 -452.44 -138.29 16.25 7.56 !! methanol-attack/methanol-attack.txt
2.50 2.65 -1513.410241 143.81 -424.83 -128.38 -451.53 -137.38 17.83 8.83 !! methanol-attack/methanol-attack.txt
2.50 2.70 -1513.409799 144.09 -423.92 -127.47 -451.32 -137.17 19.02 9.32 !! methanol-attack/methanol-attack.txt
2.50 2.75 -1513.409480 144.29 -422.85 -126.40 -450.64 -136.49 20.29 10.20 !! methanol-attack/methanol-attack.txt
2.50 2.80 -1513.409287 144.41 -421.88 -125.43 -449.96 -135.81 21.38 11.00 !! methanol-attack/methanol-attack.txt
2.50 2.85 -1513.409223 144.45 -420.98 -124.53 -449.20 -135.05 22.32 11.80 !! methanol-attack/methanol-attack.txt
2.50 2.90 -1513.409288 144.41 -420.13 -123.68 -448.27 -134.12 23.13 12.69 !! methanol-attack/methanol-attack.txt
2.50 2.95 -1513.409481 144.29 -419.16 -122.71 -447.83 -133.68 23.98 13.01 !! methanol-attack/methanol-attack.txt
2.50 3.00 -1513.409717 144.14 -418.31 -121.86 -446.86 -132.71 24.68 13.83 !! methanol-attack/methanol-attack.txt
2.50 3.05 -1513.410183 143.85 -416.84 -120.39 -446.13 -131.98 25.86 14.27 !! methanol-attack/methanol-attack.txt
2.50 3.10 -1513.410868 143.42 -415.05 -118.60 -445.54 -131.39 27.22 14.43 !! methanol-attack/methanol-attack.txt
2.50 3.15 -1513.411654 142.92 -413.79 -117.34 -444.79 -130.64 27.98 14.68 !! methanol-attack/methanol-attack.txt
2.50 3.20 -1513.412576 142.34 -412.55 -116.10 -443.92 -129.77 28.64 14.97 !! methanol-attack/methanol-attack.txt
2.50 3.25 -1513.413654 141.67 -410.95 -114.50 -443.07 -128.92 29.57 15.15 !! methanol-attack/methanol-attack.txt
2.50 3.30 -1513.414838 140.93 -409.88 -113.43 -442.73 -128.58 29.90 14.75 !! methanol-attack/methanol-attack.txt

2.55 1.80 -1513.405963 146.49 -449.21 -152.76 -466.86 -152.71 -3.87 -3.82 !! methanol-attack/methanol-attack.txt
2.55 1.85 -1513.411753 142.86 -447.37 -150.92 -465.53 -151.38 -5.66 -6.12 !! methanol-attack/methanol-attack.txt
2.55 1.90 -1513.415736 140.36 -445.64 -149.19 -464.27 -150.12 -6.43 -7.36 !! methanol-attack/methanol-attack.txt
2.55 1.95 -1513.418303 138.75 -444.06 -147.61 -462.50 -148.35 -6.46 -7.20 !! methanol-attack/methanol-attack.txt
2.55 2.00 -1513.419875 137.76 -442.27 -145.82 -462.83 -148.68 -5.66 -7.54 !! -8.52 !! methanol-attack/methanol-attack.txt
2.55 2.05 -1513.420454 137.40 -440.90 -144.45 -460.85 -146.70 -4.65 -6.90 !! methanol-attack/methanol-attack.txt
2.55 2.10 -1513.420484 137.38 -439.42 -142.97 -459.63 -145.48 -3.19 -5.70 !! methanol-attack/methanol-attack.txt
2.55 2.15 -1513.420060 137.65 -437.82 -141.37 -458.86 -144.71 -1.32 -4.66 !! methanol-attack/methanol-attack.txt
2.55 2.20 -1513.419313 138.12 -436.50 -140.05 -457.88 -143.73 0.47 -3.21 !! methanol-attack/methanol-attack.txt
2.55 2.25 -1513.418355 138.72 -435.10 -138.65 -457.16 -143.01 2.47 -1.89 !! methanol-attack/methanol-attack.txt
2.55 2.30 -1513.417272 139.40 -433.67 -137.22 -456.16 -142.01 4.58 -0.21 !! methanol-attack/methanol-attack.txt
2.55 2.35 -1513.416131 140.11 -431.95 -135.50 -455.27 -141.12 7.01 1.39 !! methanol-attack/methanol-attack.txt
2.55 2.40 -1513.415007 140.82 -430.47 -134.02 -454.69 -140.54 9.20 2.68 !! methanol-attack/methanol-attack.txt
2.55 2.45 -1513.413925 141.50 -429.03 -132.58 -453.51 -139.36 11.32 4.54 !! methanol-attack/methanol-attack.txt
2.55 2.50 -1513.412966 142.10 -427.64 -131.19 -453.07 -138.92 13.31 5.58 !! methanol-attack/methanol-attack.txt
2.55 2.55 -1513.412017 142.70 -426.32 -129.87 -452.07 -137.92 15.23 7.18 !! methanol-attack/methanol-attack.txt
2.55 2.60 -1513.411262 143.17 -422.23 -125.78 -450.80 -136.65 19.79 8.92 !! methanol-attack/methanol-attack.txt
2.55 2.65 -1513.410597 143.59 -423.93 -127.48 -450.80 -136.65 18.51 9.34 !! methanol-attack/methanol-attack.txt
2.55 2.70 -1513.410063 143.92 -422.86 -126.41 -450.28 -136.13 19.91 10.19 !! methanol-attack/methanol-attack.txt
2.55 2.75 -1513.409657 144.18 -421.86 -125.41 -449.46 -135.31 21.17 11.27 !! methanol-attack/methanol-attack.txt
2.55 2.80 -1513.409379 144.35 -420.78 -124.33 -448.87 -134.72 22.42 12.03 !! methanol-attack/methanol-attack.txt
2.55 2.85 -1513.409232 144.44 -419.86 -123.41 -448.11 -133.96 23.43 12.88 !! methanol-attack/methanol-attack.txt
2.55 2.90 -1513.409215 144.45 -418.98 -122.53 -447.45 -133.30 24.32 13.55 !! methanol-attack/methanol-attack.txt
2.55 2.95 -1513.409328 144.38 -418.02 -121.57 -446.60 -132.45 25.21 14.33 !! methanol-attack/methanol-attack.txt
2.55 3.00 -1513.409486 144.28 -416.99 -120.54 -445.58 -131.43 26.14 15.25 !! methanol-attack/methanol-attack.txt
2.55 3.05 -1513.409873 144.04 -415.56 -119.11 -444.97 -130.82 27.33 15.62 !! methanol-attack/methanol-attack.txt
2.55 3.10 -1513.410469 143.67 -414.05 -117.60 -444.46 -130.31 28.47 15.76 !! methanol-attack/methanol-attack.txt
2.55 3.15 -1513.411170 143.23 -412.80 -116.35 -443.81 -129.66 29.28 15.97 !! methanol-attack/methanol-attack.txt
2.55 3.20 -1513.412011 142.70 -411.64 -115.19 -442.77 -128.62 29.91 16.48 !! methanol-attack/methanol-attack.txt
2.55 3.25 -1513.412997 142.08 -410.09 -113.64 -442.04 -127.89 30.84 16.59 !! methanol-attack/methanol-attack.txt
2.55 3.30 -1513.414105 141.39 -409.07 -112.62 -441.30 -127.15 31.17 16.64 !! methanol-attack/methanol-attack.txt

2.60 1.80 -1513.407842 145.32 -448.57 -152.12 -466.40 -152.25 -4.40 -4.53 !! methanol-attack/methanol-attack.txt
2.60 1.85 -1513.413562 141.73 -446.74 -150.29 -465.20 -151.05 -6.16 -6.92 !! methanol-attack/methanol-attack.txt
2.60 1.90 -1513.417473 139.27 -445.00 -148.55 -463.77 -149.62 -6.88 -7.95 !! methanol-attack/methanol-attack.txt
2.60 1.95 -1513.419961 137.71 -443.32 -146.87 -462.39 -148.24 -6.76 -8.13 !! methanol-attack/methanol-attack.txt
2.60 2.00 -1513.421477 136.76 -441.59 -145.14 -462.21 -148.06 -5.98 -7.94 !! -8.90 !! methanol-attack/methanol-attack.txt
2.60 2.05 -1513.421960 136.46 -440.14 -143.69 -460.32 -146.17 -4.83 -7.31 !! methanol-attack/methanol-attack.txt
2.60 2.10 -1513.421910 136.49 -438.60 -142.15 -459.43 -145.28 -3.26 -6.39 !! methanol-attack/methanol-attack.txt
2.60 2.15 -1513.421403 136.81 -437.10 -140.65 -458.69 -144.54 -1.44 -5.33 !! methanol-attack/methanol-attack.txt
2.60 2.20 -1513.420571 137.33 -435.73 -139.28 -457.78 -143.63 0.45 -3.90 !! methanol-attack/methanol-attack.txt
2.60 2.25 -1513.419524 137.98 -434.21 -137.76 -456.62 -142.47 2.62 -2.09 !! methanol-attack/methanol-attack.txt
2.60 2.30 -1513.418352 138.72 -432.84 -136.39 -455.52 -141.37 4.73 -0.25 !! methanol-attack/methanol-attack.txt
2.60 2.35 -1513.417122 139.49 -431.46 -135.01 -454.82 -140.67 6.88 1.22 !! methanol-attack/methanol-attack.txt
2.60 2.40 -1513.415901 140.26 -429.63 -133.18 -454.26 -140.11 9.48 2.55 !! methanol-attack/methanol-attack.txt
2.60 2.45 -1513.414727 140.99 -428.24 -131.79 -453.06 -138.91 11.60 4.48 !! methanol-attack/methanol-attack.txt
2.60 2.50 -1513.413685 141.65 -426.70 -130.25 -452.27 -138.12 13.80 5.93 !! methanol-attack/methanol-attack.txt
2.60 2.55 -1513.412631 142.31 -425.31 -128.86 -451.47 -137.32 15.85 7.39 !! methanol-attack/methanol-attack.txt
2.60 2.60 -1513.411789 142.84 -424.17 -127.72 -450.85 -136.70 17.52 8.54 !! methanol-attack/methanol-attack.txt
2.60 2.65 -1513.411030 143.31 -422.96 -126.51 -450.12 -135.97 19.20 9.74 !! methanol-attack/methanol-attack.txt
2.60 2.70 -1513.410406 143.71 -421.83 -125.38 -449.46 -135.31 20.73 10.80 !! methanol-attack/methanol-attack.txt
2.60 2.75 -1513.409913 144.02 -420.86 -124.41 -448.90 -134.75 22.01 11.67 !! methanol-attack/methanol-attack.txt
2.60 2.80 -1513.409553 144.24 -419.76 -123.31 -447.83 -133.68 23.33 12.96 !! methanol-attack/methanol-attack.txt
2.60 2.85 -1513.409324 144.39 -419.61 -123.16 -447.19 -133.04 23.63 13.75 !! methanol-attack/methanol-attack.txt
2.60 2.90 -1513.409227 144.45 -417.89 -121.44 -446.45 -132.30 25.41 14.55 !! methanol-attack/methanol-attack.txt
2.60 2.95 -1513.409262 144.42 -416.91 -120.46 -445.55 -131.40 26.36 15.42 !! methanol-attack/methanol-attack.txt
2.60 3.00 -1513.409344 144.37 -415.91 -119.46 -444.73 -130.58 27.31 16.19 !! methanol-attack/methanol-attack.txt
2.60 3.05 -1513.409655 144.18 -414.53 -118.08 -443.96 -129.81 28.50 16.77 !! methanol-attack/methanol-attack.txt
2.60 3.10 -1513.410164 143.86 -413.14 -116.69 -443.41 -129.26 29.57 17.00 !! methanol-attack/methanol-attack.txt
2.60 3.15 -1513.410780 143.47 -411.68 -115.23 -442.44 -128.29 30.64 17.58 !! methanol-attack/methanol-attack.txt
2.60 3.20 -1513.411537 143.00 -410.61 -114.16 -441.95 -127.80 31.24 17.60 !! methanol-attack/methanol-attack.txt
2.60 3.25 -1513.412429 142.44 -409.02 -112.57 -440.40 -126.25 32.27 18.59 !! methanol-attack/methanol-attack.txt
2.60 3.30 -1513.413465 141.79 -407.93 -111.48 -440.12 -125.97 32.71 18.22 !! methanol-attack/methanol-attack.txt

2.65 1.80 -1513.409699 144.15 -448.05 -151.60 -466.22 -152.07 -5.05 -5.52 !! methanol-attack/methanol-attack.txt
2.65 1.85 -1513.415358 140.60 -446.15 -149.70 -464.78 -150.63 -6.70 -7.63 !! methanol-attack/methanol-attack.txt
2.65 1.90 -1513.419204 138.19 -444.36 -147.91 -463.60 -149.45 -7.32 -8.86 !! methanol-attack/methanol-attack.txt
2.65 1.95 -1513.421627 136.67 -442.59 -146.14 -461.99 -147.84 -7.07 -8.77 !! methanol-attack/methanol-attack.txt
2.65 2.00 -1513.423086 135.75 -440.84 -144.39 -461.65 -147.50 -6.24 -8.61 !! -9.35 !! methanol-attack/methanol-attack.txt
2.65 2.05 -1513.423487 135.50 -439.40 -142.95 -459.70 -145.55 -5.05 -7.65 !! methanol-attack/methanol-attack.txt
2.65 2.10 -1513.423366 135.57 -437.83 -141.38 -458.78 -144.63 -3.41 -6.66 !! methanol-attack/methanol-attack.txt
2.65 2.15 -1513.422786 135.94 -436.35 -139.90 -457.72 -143.57 -1.56 -5.23 !! methanol-attack/methanol-attack.txt
2.65 2.20 -1513.421879 136.51 -434.88 -138.43 -457.06 -142.91 0.48 -4.00 !! methanol-attack/methanol-attack.txt
2.65 2.25 -1513.420753 137.21 -433.42 -136.97 -456.18 -142.03 2.64 -2.42 !! methanol-attack/methanol-attack.txt
2.65 2.30 -1513.419499 138.00 -431.97 -135.52 -455.22 -141.07 4.88 -0.67 !! methanol-attack/methanol-attack.txt
2.65 2.35 -1513.418185 138.82 -430.49 -134.04 -454.39 -140.24 7.18 0.98 !! methanol-attack/methanol-attack.txt
2.65 2.40 -1513.416869 139.65 -428.86 -132.41 -453.82 -139.67 9.64 2.38 !! methanol-attack/methanol-attack.txt
2.65 2.45 -1513.415606 140.44 -427.44 -130.99 -452.70 -138.55 11.85 4.29 !! methanol-attack/methanol-attack.txt
2.65 2.50 -1513.414489 141.14 -425.84 -129.39 -451.31 -137.16 14.15 6.38 !! methanol-attack/methanol-attack.txt
2.65 2.55 -1513.413330 141.87 -424.58 -128.13 -450.88 -136.73 16.14 7.54 !! methanol-attack/methanol-attack.txt
2.65 2.60 -1513.412407 142.45 -423.23 -126.78 -449.90 -135.75 18.07 9.10 !! methanol-attack/methanol-attack.txt
2.65 2.65 -1513.411553 142.99 -421.98 -125.53 -449.13 -134.98 19.86 10.41 !! methanol-attack/methanol-attack.txt
2.65 2.70 -1513.410840 143.43 -420.83 -124.38 -448.52 -134.37 21.45 11.46 !! methanol-attack/methanol-attack.txt
2.65 2.75 -1513.410263 143.80 -419.78 -123.33 -447.88 -133.73 22.87 12.47 !! methanol-attack/methanol-attack.txt
2.65 2.80 -1513.409822 144.07 -418.77 -122.32 -447.02 -132.87 24.15 13.60 !! methanol-attack/methanol-attack.txt
2.65 2.85 -1513.409514 144.27 -417.79 -121.34 -446.21 -132.06 25.33 14.61 !! methanol-attack/methanol-attack.txt
2.65 2.90 -1513.409339 144.38 -416.87 -120.42 -445.30 -131.15 26.36 15.63 !! methanol-attack/methanol-attack.txt
2.65 2.95 -1513.409296 144.40 -415.93 -119.48 -444.59 -130.44 27.32 16.36 !! methanol-attack/methanol-attack.txt
2.65 3.00 -1513.409305 144.40 -414.84 -118.39 -443.92 -129.77 28.41 17.03 !! methanol-attack/methanol-attack.txt
2.65 3.05 -1513.409542 144.25 -413.47 -117.02 -442.84 -128.69 29.63 17.96 !! methanol-attack/methanol-attack.txt
2.65 3.10 -1513.409967 143.98 -412.26 -115.81 -442.49 -128.34 30.57 18.04 !! methanol-attack/methanol-attack.txt
2.65 3.15 -1513.410498 143.65 -410.76 -114.31 -441.13 -126.98 31.74 19.07 !! methanol-attack/methanol-attack.txt
2.65 3.20 -1513.411176 143.22 -409.65 -113.20 -440.77 -126.62 32.42 19.00 !! methanol-attack/methanol-attack.txt
2.65 3.25 -1513.411972 142.72 -408.07 -111.62 -439.18 -125.03 33.50 20.09 !! methanol-attack/methanol-attack.txt
2.65 3.30 -1513.412928 142.12 -407.09 -110.64 -438.58 -124.43 33.88 20.09 !! methanol-attack/methanol-attack.txt

2.70 1.80 -1513.411542 142.99 -447.39 -150.94 -466.02 -151.87 -5.55 -6.48 !! methanol-attack/methanol-attack.txt
2.70 1.85 -1513.417146 139.48 -445.48 -149.03 -464.74 -150.59 -7.15 -8.71 !! methanol-attack/methanol-attack.txt
2.70 1.90 -1513.420936 137.10 -443.66 -147.21 -463.57 -149.42 -7.71 -9.92 !! methanol-attack/methanol-attack.txt
2.70 1.95 -1513.423300 135.62 -441.98 -145.53 -461.64 -147.49 -7.51 -9.47 !! methanol-attack/methanol-attack.txt
2.70 2.00 -1513.424708 134.73 -440.12 -143.67 -461.28 -147.13 -6.54 -9.66 !! -10.00 !! methanol-attack/methanol-attack.txt
2.70 2.05 -1513.425037 134.53 -438.65 -142.20 -459.77 -145.62 -5.27 -8.69 !! methanol-attack/methanol-attack.txt
2.70 2.10 -1513.424852 134.64 -437.11 -140.66 -458.46 -144.31 -3.62 -7.27 !! methanol-attack/methanol-attack.txt
2.70 2.15 -1513.424208 135.05 -435.61 -139.16 -457.43 -143.28 -1.71 -5.83 !! methanol-attack/methanol-attack.txt
2.70 2.20 -1513.423234 135.66 -434.12 -137.67 -456.23 -142.08 0.39 -4.02 !! methanol-attack/methanol-attack.txt
2.70 2.25 -1513.422039 136.41 -432.63 -136.18 -455.23 -141.08 2.63 -2.27 !! methanol-attack/methanol-attack.txt
2.70 2.30 -1513.420711 137.24 -431.15 -134.70 -454.48 -140.33 4.94 -0.69 !! methanol-attack/methanol-attack.txt
2.70 2.35 -1513.419322 138.11 -429.65 -133.20 -453.41 -139.26 7.31 1.25 !! methanol-attack/methanol-attack.txt
2.70 2.40 -1513.417922 138.99 -428.32 -131.87 -452.52 -138.37 9.52 3.02 !! methanol-attack/methanol-attack.txt
2.70 2.45 -1513.416571 139.84 -426.59 -130.14 -451.74 -137.59 12.10 4.65 !! methanol-attack/methanol-attack.txt
2.70 2.50 -1513.415384 140.58 -425.13 -128.68 -450.93 -136.78 14.30 6.20 !! methanol-attack/methanol-attack.txt
2.70 2.55 -1513.414120 141.38 -423.79 -127.34 -450.24 -136.09 16.44 7.69 !! methanol-attack/methanol-attack.txt
2.70 2.60 -1513.413121 142.00 -422.44 -125.99 -449.13 -134.98 18.41 9.42 !! methanol-attack/methanol-attack.txt
2.70 2.65 -1513.412138 142.62 -421.18 -124.73 -448.78 -134.63 20.29 10.39 !! methanol-attack/methanol-attack.txt
2.70 2.70 -1513.411377 143.10 -419.94 -123.49 -447.83 -133.68 22.01 11.82 !! methanol-attack/methanol-attack.txt
2.70 2.75 -1513.410715 143.51 -418.88 -122.43 -446.96 -132.81 23.48 13.10 !! methanol-attack/methanol-attack.txt
2.70 2.80 -1513.410194 143.84 -417.83 -121.38 -446.61 -132.46 24.86 13.78 !! methanol-attack/methanol-attack.txt
2.70 2.85 -1513.409808 144.08 -416.82 -120.37 -445.80 -131.65 26.11 14.83 !! methanol-attack/methanol-attack.txt
2.70 2.90 -1513.409556 144.24 -415.86 -119.41 -444.86 -130.71 27.23 15.93 !! methanol-attack/methanol-attack.txt
2.70 2.95 -1513.409439 144.31 -414.93 -118.48 -444.03 -129.88 28.23 16.83 !! methanol-attack/methanol-attack.txt
2.70 3.00 -1513.409392 144.34 -413.93 -117.48 -443.33 -129.18 29.26 17.56 !! methanol-attack/methanol-attack.txt
2.70 3.05 -1513.409542 144.25 -412.59 -116.14 -442.21 -128.06 30.51 18.59 !! methanol-attack/methanol-attack.txt
2.70 3.10 -1513.409886 144.03 -411.43 -114.98 -441.51 -127.36 31.45 19.07 !! methanol-attack/methanol-attack.txt
2.70 3.15 -1513.410335 143.75 -409.80 -113.35 -440.00 -125.85 32.80 20.30 !! methanol-attack/methanol-attack.txt
2.70 3.20 -1513.410934 143.37 -408.74 -112.29 -439.31 -125.16 33.48 20.61 !! methanol-attack/methanol-attack.txt
2.70 3.25 -1513.411638 142.93 -407.12 -110.67 -437.76 -123.61 34.66 21.72 !! methanol-attack/methanol-attack.txt
2.70 3.30 -1513.412516 142.38 -406.19 -109.74 -437.40 -123.25 35.04 21.53 !! methanol-attack/methanol-attack.txt

2.75 1.80 -1513.413373 141.84 -446.74 -150.29 -465.67 -151.52 -6.05 -7.28 !! methanol-attack/methanol-attack.txt
2.75 1.85 -1513.418928 138.36 -444.81 -148.36 -464.32 -150.17 -7.60 -9.41 !! methanol-attack/methanol-attack.txt
2.75 1.90 -1513.422668 136.01 -442.97 -146.52 -463.11 -148.96 -8.11 -10.55 !! methanol-attack/methanol-attack.txt
2.75 1.95 -1513.424979 134.56 -441.23 -144.78 -460.68 -146.53 -7.82 -9.57 !! methanol-attack/methanol-attack.txt
2.75 2.00 -1513.426338 133.71 -439.36 -142.91 -460.75 -146.60 -6.80 -9.50 !! old -10.49 !! methanol-attack/methanol-attack.txt
2.75 2.05 -1513.426606 133.54 -437.90 -141.45 -459.42 -145.27 -5.51 -9.33 !! methanol-attack/methanol-attack.txt
2.75 2.10 -1513.426364 133.69 -436.31 -139.86 -458.10 -143.95 -3.77 -7.86 !! methanol-attack/methanol-attack.txt
2.75 2.15 -1513.425662 134.13 -434.82 -138.37 -456.97 -142.82 -1.84 -6.29 !! methanol-attack/methanol-attack.txt
2.75 2.20 -1513.424629 134.78 -433.33 -136.88 -455.86 -141.71 0.30 -4.53 !! methanol-attack/methanol-attack.txt
2.75 2.25 -1513.423373 135.57 -431.86 -135.41 -454.95 -140.80 2.56 -2.83 !! methanol-attack/methanol-attack.txt
2.75 2.30 -1513.421979 136.44 -430.46 -134.01 -453.91 -139.76 4.83 -0.92 !! methanol-attack/methanol-attack.txt
2.75 2.35 -1513.420522 137.36 -428.98 -132.53 -453.16 -139.01 7.23 0.75 !! methanol-attack/methanol-attack.txt
2.75 2.40 -1513.419055 138.28 -427.52 -131.07 -452.37 -138.22 9.61 2.46 !! methanol-attack/methanol-attack.txt
2.75 2.45 -1513.417620 139.18 -425.86 -129.41 -451.18 -137.03 12.17 4.55 !! methanol-attack/methanol-attack.txt
2.75 2.50 -1513.416370 139.96 -424.37 -127.92 -450.26 -136.11 14.44 6.25 !! methanol-attack/methanol-attack.txt
2.75 2.55 -1513.415006 140.82 -422.81 -126.36 -449.57 -135.42 16.86 7.80 !! methanol-attack/methanol-attack.txt
2.75 2.60 -1513.413939 141.49 -421.62 -125.17 -448.74 -134.59 18.72 9.30 !! methanol-attack/methanol-attack.txt
2.75 2.65 -1513.412850 142.17 -420.30 -123.85 -447.79 -133.64 20.72 10.93 !! methanol-attack/methanol-attack.txt
2.75 2.70 -1513.412018 142.69 -419.17 -122.72 -447.03 -132.88 22.37 12.21 !! methanol-attack/methanol-attack.txt
2.75 2.75 -1513.411272 143.16 -417.99 -121.54 -446.31 -132.16 24.02 13.40 !! methanol-attack/methanol-attack.txt
2.75 2.80 -1513.410670 143.54 -416.89 -120.44 -445.62 -131.47 25.50 14.47 !! methanol-attack/methanol-attack.txt
2.75 2.85 -1513.410209 143.83 -415.85 -119.40 -445.07 -130.92 26.83 15.31 !! methanol-attack/methanol-attack.txt
2.75 2.90 -1513.409883 144.03 -414.87 -118.42 -444.13 -129.98 28.01 16.45 !! methanol-attack/methanol-attack.txt
2.75 2.95 -1513.409693 144.15 -413.86 -117.41 -443.09 -128.94 29.14 17.61 !! methanol-attack/methanol-attack.txt
2.75 3.00 -1513.410154 143.86 -412.13 -115.68 -439.88 -125.73 30.58 18.67 !! 20.53 !! acetyl-leaving/acetyl-leaving.txt
