!! This surface is a combination of the following surfaces:
!! methanol-attack/methanol-attack.txt
!! acetyl-leaving/acetyl-leaving.txt
!! This surface is based upon a LD surface
!! Variables are -
!! Xvar Yvar GasSCF dGasSCF DeltaG dDeltaG DeltaGld dDeltaGld sum sumld surface
1.95 2.45 -1513.395765 152.89 -440.94 -144.49 -463.45 -149.30 10.80 5.99 !! methanol-attack/methanol-attack.txt
1.95 2.50 -1513.396201 152.62 -440.23 -143.78 -463.40 -149.25 11.24 5.77 !! methanol-attack/methanol-attack.txt
1.95 2.55 -1513.396674 152.32 -439.46 -143.01 -463.01 -148.86 11.71 5.86 !! methanol-attack/methanol-attack.txt
1.95 2.60 -1513.397198 151.99 -438.72 -142.27 -462.51 -148.36 12.12 6.03 !! methanol-attack/methanol-attack.txt
1.95 2.65 -1513.397788 151.62 -437.97 -141.52 -462.27 -148.12 12.50 5.90 !! methanol-attack/methanol-attack.txt
1.95 2.70 -1513.398450 151.21 -436.67 -140.22 -461.62 -147.47 13.39 6.14 !! methanol-attack/methanol-attack.txt
1.95 2.75 -1513.399186 150.75 -436.55 -140.10 -461.04 -146.89 13.05 6.26 !! methanol-attack/methanol-attack.txt
1.95 2.80 -1513.400012 150.23 -435.79 -139.34 -460.75 -146.60 13.29 6.03 !! methanol-attack/methanol-attack.txt
1.95 2.85 -1513.400918 149.66 -435.05 -138.60 -460.46 -146.31 13.46 5.75 !! methanol-attack/methanol-attack.txt
1.95 2.90 -1513.401913 149.04 -434.11 -137.66 -460.01 -145.86 13.78 5.58 !! methanol-attack/methanol-attack.txt
1.95 2.95 -1513.403032 148.33 -432.06 -135.61 -459.62 -145.47 15.12 5.26 !! methanol-attack/methanol-attack.txt
1.95 3.00 -1513.404286 147.55 -430.30 -133.85 -459.34 -145.19 16.10 4.76 !! methanol-attack/methanol-attack.txt
1.95 3.05 -1513.405766 146.62 -428.27 -131.82 -457.35 -143.20 17.20 5.82 !! methanol-attack/methanol-attack.txt
1.95 3.10 -1513.407336 145.63 -426.93 -130.48 -458.05 -143.90 17.55 4.13 !! methanol-attack/methanol-attack.txt
1.95 3.15 -1513.408951 144.62 -426.18 -129.73 -457.75 -143.60 17.29 3.42 !! methanol-attack/methanol-attack.txt
1.95 3.20 -1513.410584 143.59 -425.54 -129.09 -457.94 -143.79 16.90 2.20 !! methanol-attack/methanol-attack.txt
1.95 3.25 -1513.412209 142.57 -424.92 -128.47 -457.47 -143.32 16.50 1.65 !! methanol-attack/methanol-attack.txt
1.95 3.30 -1513.413850 141.55 -424.24 -127.79 -457.03 -142.88 16.16 1.07 !! methanol-attack/methanol-attack.txt

2.00 1.80 -1513.373470 166.88 -456.13 -159.68 -470.81 -156.66 9.60 12.62 !! methanol-attack/methanol-attack.txt
2.00 1.85 -1513.380719 162.33 -454.75 -158.30 -469.69 -155.54 6.43 9.19 !! methanol-attack/methanol-attack.txt
2.00 1.90 -1513.386168 158.92 -453.20 -156.75 -468.79 -154.64 4.57 6.68 !! methanol-attack/methanol-attack.txt
2.00 1.95 -1513.390226 156.37 -452.01 -155.56 -467.79 -153.64 3.21 5.13 !! methanol-attack/methanol-attack.txt
2.00 2.00 -1513.393141 154.54 -450.79 -154.34 -468.74 -154.59 2.60 3.74 !! old 2.35 !! methanol-attack/methanol-attack.txt
2.00 2.05 -1513.395239 153.22 -449.61 -153.16 -466.68 -152.53 2.46 3.09 !! methanol-attack/methanol-attack.txt
2.00 2.10 -1513.396688 152.31 -448.41 -151.96 -465.81 -151.66 2.75 3.05 !! methanol-attack/methanol-attack.txt
2.00 2.15 -1513.397659 151.71 -447.29 -150.84 -465.50 -151.35 3.27 2.76 !! methanol-attack/methanol-attack.txt
2.00 2.20 -1513.398292 151.31 -445.77 -149.32 -465.02 -150.87 4.39 2.84 !! methanol-attack/methanol-attack.txt
2.00 2.25 -1513.398740 151.03 -444.52 -148.07 -464.48 -150.33 5.36 3.10 !! methanol-attack/methanol-attack.txt
2.00 2.30 -1513.399052 150.83 -443.40 -146.95 -463.70 -149.55 6.28 3.68 !! methanol-attack/methanol-attack.txt
2.00 2.35 -1513.399296 150.68 -442.30 -145.85 -462.98 -148.83 7.23 4.25 !! methanol-attack/methanol-attack.txt
2.00 2.40 -1513.399528 150.53 -440.98 -144.53 -463.44 -149.29 8.40 3.64 !! methanol-attack/methanol-attack.txt
2.00 2.45 -1513.399798 150.36 -439.66 -143.21 -462.43 -148.28 9.55 4.48 !! methanol-attack/methanol-attack.txt
2.00 2.50 -1513.400102 150.17 -438.86 -142.41 -462.47 -148.32 10.16 4.25 !! methanol-attack/methanol-attack.txt
2.00 2.55 -1513.400448 149.95 -438.12 -141.67 -461.95 -147.80 10.68 4.55 !! methanol-attack/methanol-attack.txt
2.00 2.60 -1513.400852 149.70 -437.33 -140.88 -461.42 -147.27 11.22 4.83 !! methanol-attack/methanol-attack.txt
2.00 2.65 -1513.401327 149.40 -436.60 -140.15 -461.05 -146.90 11.65 4.90 !! methanol-attack/methanol-attack.txt
2.00 2.70 -1513.401882 149.06 -435.84 -139.39 -460.47 -146.32 12.07 5.14 !! methanol-attack/methanol-attack.txt
2.00 2.75 -1513.402517 148.66 -435.14 -138.69 -460.00 -145.85 12.37 5.21 !! methanol-attack/methanol-attack.txt
2.00 2.80 -1513.403246 148.20 -434.25 -137.80 -459.71 -145.56 12.80 5.04 !! methanol-attack/methanol-attack.txt
2.00 2.85 -1513.404061 147.69 -433.55 -137.10 -459.12 -144.97 12.99 5.12 !! methanol-attack/methanol-attack.txt
2.00 2.90 -1513.404970 147.12 -432.68 -136.23 -458.69 -144.54 13.29 4.98 !! methanol-attack/methanol-attack.txt
2.00 2.95 -1513.405985 146.48 -430.86 -134.41 -458.20 -144.05 14.47 4.83 !! methanol-attack/methanol-attack.txt
2.00 3.00 -1513.407146 145.75 -429.06 -132.61 -457.98 -143.83 15.54 4.32 !! methanol-attack/methanol-attack.txt
2.00 3.05 -1513.408529 144.88 -428.04 -131.59 -456.60 -142.45 15.69 4.83 !! methanol-attack/methanol-attack.txt
2.00 3.10 -1513.410032 143.94 -425.59 -129.14 -456.23 -142.08 17.20 4.26 !! methanol-attack/methanol-attack.txt
2.00 3.15 -1513.411602 142.96 -424.63 -128.18 -455.99 -141.84 17.18 3.52 !! methanol-attack/methanol-attack.txt
2.00 3.20 -1513.413196 141.96 -423.96 -127.51 -456.38 -142.23 16.85 2.13 !! methanol-attack/methanol-attack.txt
2.00 3.25 -1513.414790 140.96 -423.36 -126.91 -455.94 -141.79 16.45 1.57 !! methanol-attack/methanol-attack.txt
2.00 3.30 -1513.416400 139.95 -422.68 -126.23 -455.84 -141.69 16.12 0.66 !! methanol-attack/methanol-attack.txt

2.05 1.80 -1513.380265 162.62 -453.60 -157.15 -467.83 -153.68 7.87 11.34 !! acetyl-leaving/acetyl-leaving.txt
2.05 1.85 -1513.385801 159.15 -453.71 -157.26 -469.55 -155.40 4.29 6.15 !! methanol-attack/methanol-attack.txt
2.05 1.90 -1513.391059 155.85 -452.25 -155.80 -468.36 -154.21 2.45 4.04 !! methanol-attack/methanol-attack.txt
2.05 1.95 -1513.394931 153.42 -451.08 -154.63 -467.26 -153.11 1.19 2.71 !! methanol-attack/methanol-attack.txt
2.05 2.00 -1513.397664 151.70 -449.91 -153.46 -468.21 -154.06 0.64 1.38 !! old 0.04 !! methanol-attack/methanol-attack.txt
2.05 2.05 -1513.399577 150.50 -448.67 -152.22 -466.03 -151.88 0.68 1.02 !! methanol-attack/methanol-attack.txt
